221	San Juan Despí	34 039	 Barcelona	 Cataluña
222	Petrel	33 978	Alicante	 Comunidad Valenciana
223	Villena	33 969	Alicante	 Comunidad Valenciana
224	Tortosa	33 890	 Tarragona	 Cataluña
225	Mazarrón	33 700	 Región de Murcia
226	Almendralejo	33 669	 Badajoz	 Extremadura
227	San Javier	33 468	 Región de Murcia
228	Ronda	33 401	 Málaga	 Andalucía
229	Aranda de Duero	33 172	 Burgos	 Castilla y León
230	Castro-Urdiales	33 109	 Cantabria
231	Barberá del Vallés	33 082	 Barcelona	 Cataluña
232	Arteijo	33 076	La Coruña	 Galicia
233	San Roque	33 018	 Cádiz	 Andalucía
234	Aldaya	32 656	Valencia	 Comunidad Valenciana
235	Salt	32 517	Gerona	 Cataluña
236	Totana	32 329	 Región de Murcia
237	Lejona	32 172	 Vizcaya	 País Vasco
238	Ames	32 095	La Coruña	 Galicia
239	Agüimes	32 067	Las Palmas	 Canarias
240	Ingenio	31 932	Las Palmas	 Canarias
241	Níjar	31 816	 Almería	 Andalucía
242	San Pedro de Ribas	31 688	 Barcelona	 Cataluña
243	Carballo	31 432	La Coruña	 Galicia
244	Vall de Uxó	31 388	Castellón	 Comunidad Valenciana
245	Navalcarnero	31 379	 Comunidad de Madrid
246	Sitges	31 222	 Barcelona	 Cataluña
247	Manises	31 170	Valencia	 Comunidad Valenciana
248	Arcos de la Frontera	30 953	 Cádiz	 Andalucía
249	Ciudadela	30 811	 Islas Baleares
250	Culleredo	30 790	La Coruña	 Galicia
251	Coria del Río	30 714	 Sevilla	 Andalucía
252	Illescas	30 553	 Toledo	 Castilla-La Mancha
253	Alcázar de San Juan	30 516	 Ciudad Real	 Castilla-La Mancha
254	Hellín	30 492	 Albacete	 Castilla-La Mancha
255	Camargo	30 374	 Cantabria
256	Puerto de la Cruz	30 349	Santa Cruz de Tenerife	 Canarias
257	Chirivella	30 326	Valencia	 Comunidad Valenciana
258	Valdepeñas	30 071	 Ciudad Real	 Castilla-La Mancha
259	San Andrés del Rabanedo	29 888	 León	 Castilla y León
260	Crevillente	29 881	Alicante	 Comunidad Valenciana
261	Puente Genil	29 748	 Córdoba	 Andalucía
262	Játiva	29 637	Valencia	 Comunidad Valenciana
263	Durango	29 609	 Vizcaya	 País Vasco
264	Alacuás	29 537	Valencia	 Comunidad Valenciana
265	Rota	29 491	 Cádiz	 Andalucía
266	Mahón	29 445	 Islas Baleares
